instance runsPerInstance avrgIterations satisfied satisfiendMaximum avrgSatisfiedCloses selectedVariables avrgHeuristicValue avrgDifference
wuf100-01 10 208260 5 0 428.6 54.1 2437.437799043063 0.0
wuf100-02 10 21924 10 0 429.3 51.05 3402.552232854864 0.0
wuf100-03 10 50760 10 0 429.53333333333336 55.266666666666666 4087.979266347687 0.0
wuf100-04 10 20760 10 0 429.65 53.95 4120.313664385003 0.0
wuf100-05 10 32130 10 0 429.72 54.56 4333.618352322484 0.0
wuf100-06 10 34080 10 0 429.76666666666665 55.93333333333333 4376.338525925301 0.0
wuf100-07 10 95319 9 0 429.7857142857143 56.81428571428572 4405.777227073439 0.0
wuf100-08 10 11946 10 0 429.8125 57.4625 4595.781577448656 0.0
wuf100-09 10 21660 10 0 429.8333333333333 57.96666666666667 4726.243844345714 0.0
wuf100-010 10 185130 7 0 429.8 58.28 4619.861101702188 0.0
wuf100-011 10 10620 10 0 429.8181818181818 57.981818181818184 4655.120675902941 0.0
wuf100-012 10 35244 10 0 429.8333333333333 58.31666666666667 4687.115594702074 0.0
wuf100-013 10 21660 10 0 429.84615384615387 59.06153846153846 4761.375359518328 0.0
wuf100-014 10 349470 0 0 429.73571428571427 58.47142857142857 4421.277119552733 0.0
wuf100-015 10 23628 10 0 429.75333333333333 58.44 4479.79595834872 0.0
wuf100-016 10 10620 10 0 429.76875 58.1625 4514.423449757894 0.0
wuf100-017 10 33015 10 0 429.7823529411765 58.09411764705882 4537.135101601577 0.0
wuf100-018 10 262632 3 0 429.73333333333335 57.833333333333336 4355.497177739784 0.0
wuf100-019 10 42066 10 0 429.7473684210526 57.410526315789475 4310.120301181166 0.0
wuf100-020 10 36312 10 0 429.76 57.49 4349.688209567083 0.0
wuf100-021 10 10710 10 0 429.77142857142854 57.41904761904762 4399.750675778174 0.0
wuf100-022 10 176790 6 0 429.75454545454545 57.25454545454546 4331.145305783037 0.0
wuf100-023 10 10890 10 0 429.76521739130436 57.63478260869565 4406.64276735117 0.0
wuf100-024 10 354420 1 0 429.725 57.24583333333333 4236.229934075705 0.0
wuf100-025 10 31770 10 0 429.736 57.272 4261.176717573921 0.0
wuf100-026 10 10800 10 0 429.74615384615385 57.37692307692308 4312.085759291573 0.0
wuf100-027 10 31680 10 0 429.75555555555553 57.36296296296296 4326.779434578015 0.0
wuf100-028 10 11781 10 0 429.76428571428573 57.56428571428572 4359.718959214586 0.0
wuf100-029 10 31410 10 0 429.77241379310345 57.37241379310345 4359.341677096074 0.0
wuf100-030 10 32310 10 0 429.78 57.56 4391.596954526202 0.0
wuf100-031 10 211338 5 0 429.758064516129 57.409677419354836 4324.339346674102 0.0
wuf100-032 10 10590 10 0 429.765625 57.240625 4342.984992090536 0.0
wuf100-033 10 10770 10 0 429.77272727272725 57.2939393939394 4379.591507481732 0.0
wuf100-034 10 26700 10 0 429.77941176470586 57.40294117647059 4397.279992555799 0.0
