instance runsPerInstance avrgIterations satisfied satisfiendMaximum avrgSatisfiedCloses selectedVariables avrgHeuristicValue avrgDifference
wuf20-01 40 24570 40 40 71.0 15.502295409181636 682.7995804214635 0.0
wuf20-02 40 25200 40 40 71.0 15.501294820717131 682.9802301985137 0.0
wuf20-03 40 24480 40 39 71.0 15.502335984095428 683.1316924358299 0.0013858229090017169
wuf20-04 40 16560 40 40 71.0 15.501339285714286 683.2091242438704 0.0
wuf20-05 40 32734 40 35 71.0 15.498069306930693 682.9724612265907 0.010027347310847767
wuf20-06 40 23760 40 40 71.0 15.503013833992094 682.8430632657154 0.0
wuf20-07 40 25047 40 38 71.0 15.502021696252465 682.8849675845509 0.0023597916028194913
wuf20-08 40 33568 40 19 71.0 15.497933070866141 682.7142528641032 0.0056003902092940745
wuf20-09 40 24097 40 39 71.0 15.500834970530452 682.7057261487906 2.3841206475937014E-4
wuf20-010 40 23760 40 40 71.0 15.505735294117647 682.5905928067164 0.0
wuf20-011 40 24339 40 40 71.0 15.504745596868885 682.4181470094013 0.0
wuf20-012 40 25863 40 39 71.0 15.499853515625 682.4704933271526 0.0015469935785172213
wuf20-013 40 16680 40 40 71.0 15.500828460038987 682.8618877766935 0.0
wuf20-014 40 25110 40 40 71.0 15.501799610894942 683.1146515696213 0.0
wuf20-015 40 25380 40 40 71.0 15.500825242718447 683.1981554086304 0.0
wuf20-016 40 24660 40 40 71.0 15.49985465116279 683.2052146190114 0.0
wuf20-017 40 15840 40 40 71.0 15.504690522243713 683.1589393923431 0.0
wuf20-018 40 24570 40 27 71.0 15.503185328185328 683.1532840846792 0.004552101386481803
wuf20-019 40 31212 40 28 71.0 15.502215799614644 683.0556392884973 0.008876440805773994
wuf20-020 40 27641 40 38 71.0 15.502980769230769 683.024792277115 0.00228636457686737
wuf20-021 40 33000 40 38 71.0 15.503742802303263 682.9536816859262 0.004026069588983496
wuf20-022 40 25200 40 40 71.0 15.502777777777778 683.0552360025536 0.0
wuf20-023 40 16620 40 40 71.0 15.50564053537285 683.2996182906467 0.0
wuf20-024 40 34963 40 17 71.0 15.499809160305343 683.332254783765 0.01792578750667378
wuf20-025 40 16320 40 39 71.0 15.502666666666666 683.4941777970038 5.382775119617226E-4
wuf20-026 40 33447 40 36 71.0 15.501425855513308 683.3511597150076 0.0037031250000000003
wuf20-027 40 24660 40 38 71.0 15.502277039848197 683.3203537425189 0.0024435553015147186
wuf20-028 40 33960 40 35 71.0 15.499195075757576 683.277747917587 0.005924814179531161
wuf20-029 40 27090 40 40 71.0 15.496361058601135 683.1918015967833 0.0
wuf20-030 40 24210 40 23 71.0 15.49622641509434 683.0421110041033 0.0166976168368926
wuf20-031 40 33600 40 28 71.0 15.495291902071562 683.1532605125695 0.003999741535280436
wuf20-032 40 24120 40 40 71.0 15.49812030075188 683.1029435104483 0.0
wuf20-033 40 32359 40 27 71.0 15.493996247654785 683.0934124734003 0.0018007878446820477
wuf20-034 40 24300 40 40 71.0 15.49681647940075 683.0138724643105 0.0
wuf20-035 40 39849 40 35 71.0 15.49696261682243 682.6307079790788 0.011831761006289309
wuf20-036 40 16463 40 40 71.0 15.499766791044776 682.6054938635009 0.0
wuf20-037 40 32028 40 21 71.0 15.498556797020484 682.405368048177 0.002994011976047906
wuf20-038 40 33480 40 37 71.0 15.495771375464685 682.3723469847159 0.004450579046593051
wuf20-039 40 32706 40 27 71.0 15.493599257884972 682.3139496978907 0.0032045957918050956
wuf20-040 40 34402 40 13 71.0 15.489305555555555 682.2216481598083 0.037063033305807874
wuf20-041 40 23940 40 39 71.0 15.49380776340111 682.1743200063113 6.385608349354573E-4
wuf20-042 40 32880 40 39 71.0 15.494649446494465 682.1497862419977 0.0034623627109563355
wuf20-043 40 17343 40 40 71.0 15.488213627992634 682.3895681298588 0.0
wuf20-044 40 26250 40 22 71.0 15.484788602941176 682.2970244034607 0.008483779971791252
wuf20-045 40 24840 40 40 71.0 15.485733944954129 682.3446862435891 0.0
wuf20-046 40 32706 40 37 71.0 15.486584249084249 682.3916971394402 0.0020764331210191083
wuf20-047 40 39285 40 12 71.0 15.484872029250457 682.1645558684414 0.04100741656365883
wuf20-048 40 23940 40 34 71.0 15.486085766423358 682.0269781986424 8.439443292863488E-4
wuf20-049 40 24774 40 39 71.0 15.485200364298725 681.9536918864268 1.6868147315153218E-4
wuf20-050 40 34194 40 34 71.0 15.482454545454546 681.8566576400815 0.012063296341964652
wuf20-051 40 24300 40 24 71.0 15.480852994555354 681.8415266471212 0.017754172989377846
wuf20-052 40 23760 40 40 71.0 15.483605072463767 681.624675867638 0.0
wuf20-053 40 23760 40 40 71.0 15.488155515370705 681.5177643211739 0.0
wuf20-054 40 25620 40 39 71.0 15.485469314079422 681.5688556643138 1.763177431328879E-4
wuf20-055 40 25047 40 40 71.0 15.482792792792793 681.6944236133089 0.0
wuf20-056 40 24570 40 39 71.0 15.480125899280576 681.6136954871914 3.1568228105906314E-4
wuf20-057 40 15660 40 40 71.0 15.484649910233394 681.5664280164522 0.0
wuf20-058 40 33120 40 19 71.0 15.483736559139786 681.5562318067545 0.005715648854961832
wuf20-059 40 30375 40 14 71.0 15.48175313059034 681.3688843110766 0.00879775280898876
wuf20-060 40 23220 40 40 71.0 15.48625 681.1924370918762 0.0
wuf20-061 40 24796 40 36 71.0 15.485561497326204 681.184910368637 0.006006428284451587
wuf20-062 40 28329 40 30 71.0 15.48202846975089 681.2447628226595 0.014884393063583818
wuf20-063 40 16767 40 40 71.0 15.482948490230905 681.4307126183857 0.0
wuf20-064 40 25020 40 39 71.0 15.482047872340425 681.5145595193126 3.340292275574113E-4
wuf20-065 40 24390 40 40 71.0 15.484734513274336 681.5325827315224 0.0
wuf20-066 40 23490 40 40 71.0 15.487411660777385 681.3587126083637 0.0
wuf20-067 40 25020 40 40 71.0 15.486552028218695 681.6590571536193 0.0
wuf20-068 40 24390 40 40 71.0 15.489216549295774 681.6874331299247 0.0
wuf20-069 40 32400 40 38 71.0 15.491783831282952 681.6849482491214 0.003761687323331159
wuf20-070 40 24300 40 40 71.0 15.49267543859649 681.5705529910745 0.0
wuf20-071 40 27105 40 38 71.0 15.48677758318739 681.5984662834799 0.003592604570935748
wuf20-072 40 33240 40 40 71.0 15.487674825174825 681.6297169319525 0.0
wuf20-073 40 23490 40 40 71.0 15.493804537521815 681.6036575209332 0.0
wuf20-074 40 16543 40 39 71.0 15.494729965156795 681.5274632950877 5.486341296148131E-4
