instance runsPerInstance avrgIterations satisfied satisfiendMaximum avrgSatisfiedCloses selectedVariables avrgHeuristicValue avrgDifference
wuf20-01 10 32760 10 10 71.0 17.0 729.0538783093358 0.0
wuf20-02 10 33600 10 10 71.0 16.0 751.3124341661795 0.0
wuf20-03 10 40800 10 9 71.0 16.033333333333335 752.7860636838902 0.005573677641308566
wuf20-04 10 24840 10 10 71.0 15.775 744.9387948539509 0.0
wuf20-05 10 50040 10 10 71.0 15.42 709.8064874389411 0.0
wuf20-06 10 31680 10 10 71.0 15.85 694.3890774904733 0.0
wuf20-07 10 41400 10 10 71.0 15.728571428571428 695.9925374419212 0.0
wuf20-08 10 59214 10 5 71.0 15.4375 683.7016860337061 0.0033661266568483067
wuf20-09 10 32400 10 10 71.0 15.61111111111111 683.0707540954971 0.0
wuf20-010 10 31680 10 10 71.0 15.85 677.1377873509832 0.0
wuf20-011 10 39900 10 9 71.0 15.754545454545454 669.2710253900633 0.0063939584644430465
wuf20-012 10 34200 10 10 71.0 15.525 672.6760332137497 0.0
wuf20-013 10 25020 10 10 71.0 15.561538461538461 688.8378361272463 0.0
wuf20-014 10 33480 10 10 71.0 15.592857142857143 697.6680057736515 0.0
wuf20-015 10 42300 10 10 71.0 15.553333333333333 699.5738279823655 0.0
wuf20-016 10 41100 10 10 71.0 15.51875 698.7765315143401 0.0
wuf20-017 10 23760 10 10 71.0 15.66470588235294 696.4447805049965 0.0
wuf20-018 10 40131 10 7 71.0 15.605555555555556 695.4207283532603 0.007476083182506557
wuf20-019 10 46512 10 5 71.0 15.557894736842105 692.044814364831 0.009906665686778861
wuf20-020 10 41769 10 10 71.0 15.58 690.8675147676444 0.0
wuf20-021 10 49500 10 10 71.0 15.6 688.8496824554566 0.0
wuf20-022 10 33600 10 10 71.0 15.572727272727272 690.9796053300838 0.0
wuf20-023 10 16620 10 10 71.0 15.634782608695652 696.2061591655969 0.0
wuf20-024 10 57486 10 9 71.0 15.520833333333334 696.78694342589 0.003311236652189531
wuf20-025 10 24480 10 10 71.0 15.58 699.6055155393026 0.0
wuf20-026 10 54015 10 10 71.0 15.557692307692308 696.1613435213814 0.0
wuf20-027 10 35346 10 10 71.0 15.574074074074074 695.087053238924 0.0
wuf20-028 10 59430 10 6 71.0 15.503571428571428 693.6804796622785 0.01326933086576832
wuf20-029 10 47040 10 8 71.0 15.444827586206896 691.5506290522817 0.009468154324408994
wuf20-030 10 34701 10 8 71.0 15.43 688.8846666666303 0.0036755957971722334
wuf20-031 10 50400 10 8 71.0 15.416129032258064 690.5979643357692 0.0017216672768160662
wuf20-032 10 40200 10 10 71.0 15.465625 689.5027500645404 0.0
wuf20-033 10 48222 10 9 71.0 15.393939393939394 689.1748373012366 1.5702874308732163E-4
wuf20-034 10 32400 10 10 71.0 15.441176470588236 687.6974917804569 0.0
wuf20-035 10 64080 10 8 71.0 15.44 681.578911980217 0.019758334129334226
wuf20-036 10 24390 10 10 71.0 15.483333333333333 681.2054888249877 0.0
wuf20-037 10 52224 10 3 71.0 15.475675675675676 678.2701651543437 0.005285928002479885
wuf20-038 10 50220 10 10 71.0 15.436842105263159 677.9800850720217 0.0
wuf20-039 10 49680 10 9 71.0 15.402564102564103 677.3222624767452 4.284682850616071E-4
wuf20-040 10 52542 10 8 71.0 15.3225 676.5634889465784 0.013015127803860198
wuf20-041 10 31920 10 10 71.0 15.387804878048781 676.0631050448764 0.0
wuf20-042 10 49320 10 10 71.0 15.402380952380952 675.9385056860169 0.0
wuf20-043 10 25380 10 10 71.0 15.32325581395349 679.0895405247248 0.0
wuf20-044 10 44520 10 8 71.0 15.293181818181818 678.0394226432877 0.006821705426356589
wuf20-045 10 33120 10 10 71.0 15.30888888888889 678.691078786512 0.0
wuf20-046 10 48852 10 8 71.0 15.319565217391304 679.2805875418519 0.004703950545735536
wuf20-047 10 63990 10 1 71.0 15.317021276595744 676.5462922214504 0.053344266135644844
wuf20-048 10 39900 10 7 71.0 15.3375 675.0726095462015 0.0017179429598023807
wuf20-049 10 42588 10 10 71.0 15.33061224489796 674.3764151934184 0.0
