instance runsPerInstance avrgIterations satisfied satisfiendMaximum avrgSatisfiedCloses selectedVariables avrgHeuristicValue avrgDifference
wuf20-01 10 169200 10 10 91.0 13.0 663.9447852760738 0.0
wuf20-02 10 205020 10 10 91.0 12.0 503.3926380368099 0.0
wuf20-03 10 574398 10 10 91.0 13.0 338.47944576603646 0.0
wuf20-04 10 539886 10 5 91.0 11.85 270.8900721294055 0.3539906103286385
wuf20-05 10 481380 10 3 91.0 11.14 220.06048070909034 0.6897623400365631
wuf20-06 10 572205 10 7 91.0 11.566666666666666 197.90259601453255 0.14834862385321101
wuf20-07 10 227700 10 7 91.0 11.528571428571428 216.83323536647654 0.13958673191952148
wuf20-08 10 522144 10 8 91.0 10.925 206.18969738402308 0.13272727272727275
wuf20-09 10 775077 9 9 90.9888888888889 10.911111111111111 183.5273820147319 0.0
wuf20-010 10 217464 10 7 90.99 11.03 195.47187999416332 0.1252911208151383
wuf20-011 10 167535 10 9 90.99090909090908 11.190909090909091 212.16790369501382 0.0249757045675413
wuf20-012 10 137637 10 10 90.99166666666666 11.258333333333333 227.84109765007761 0.0
wuf20-013 10 505470 10 3 90.99230769230769 10.907692307692308 215.824716346496 0.29812734082397
wuf20-014 10 340704 10 9 90.99285714285715 10.971428571428572 210.45048140286607 0.0771594684385382
wuf20-015 10 229482 10 8 90.99333333333334 10.946666666666667 228.5172667297772 0.11307977736549164
wuf20-016 10 436185 10 2 90.99375 10.9875 223.2523684636886 0.3523566155593413
wuf20-017 10 155448 10 10 90.99411764705883 11.16470588235294 230.83344404031453 0.0
wuf20-018 10 689739 10 10 90.99444444444444 11.266666666666667 218.1556508063607 0.0
wuf20-019 10 566748 10 7 90.99473684210527 11.236842105263158 208.63535016656843 0.292822966507177
wuf20-020 10 168900 10 10 90.995 11.175 224.68303051100088 0.0
wuf20-021 10 204309 10 10 90.9952380952381 11.166666666666666 223.6078526046927 0.0
wuf20-022 10 430125 10 4 90.99545454545455 11.00909090909091 219.66109299103823 0.32400733048259006
wuf20-023 10 266526 10 5 90.99565217391304 10.917391304347825 218.7681193560584 0.28107747105966163
wuf20-024 10 266616 10 8 90.99583333333334 10.9875 223.49199372849253 0.057023060796645694
wuf20-025 10 645840 10 10 90.996 11.188 214.67084158671472 0.0
wuf20-026 10 720720 10 8 90.99615384615385 11.173076923076923 208.0402735879808 0.19521531100478468
wuf20-027 10 216879 10 6 90.9962962962963 11.214814814814815 210.5270800876761 0.05393734123624048
wuf20-028 10 358878 10 7 90.99642857142857 11.157142857142857 206.41294466824334 0.19833159541188738
wuf20-029 10 797280 10 10 90.99655172413793 10.875862068965517 199.34243271966633 0.0
wuf20-030 10 191700 10 3 90.99666666666667 10.956666666666667 202.78296103596372 0.03011049723756906
wuf20-031 10 707484 10 10 90.99677419354839 10.925806451612903 196.31341370786902 0.0
wuf20-032 10 626076 10 10 90.996875 10.865625 190.3533644274574 0.0
wuf20-033 10 328248 10 3 90.9969696969697 10.748484848484848 189.3927491788826 0.1440443213296399
wuf20-034 10 201483 10 4 90.99705882352941 10.797058823529412 196.1281965319647 0.1478125
wuf20-035 10 217602 10 8 90.99714285714286 10.814285714285715 196.74552502755293 0.036734693877551024
wuf20-036 10 300012 10 6 90.99722222222222 10.825 198.05985001261513 0.25909797822706065
wuf20-037 10 718053 9 9 90.99459459459459 10.805405405405406 192.85530911321197 0.0
wuf20-038 10 177528 10 10 90.99473684210527 10.836842105263157 199.95739818595757 0.0
wuf20-039 10 525987 10 8 90.9948717948718 10.835897435897436 196.35775793943128 0.18581560283687942
wuf20-040 10 509133 10 6 90.995 10.77 193.07075276645577 0.3862745098039216
wuf20-041 10 597276 10 10 90.99512195121952 10.8 188.5354282838492 0.0
wuf20-042 10 536058 10 5 90.9952380952381 10.785714285714286 185.6081999136311 0.3824390243902439
wuf20-043 10 623322 10 7 90.9953488372093 10.806976744186047 182.25945677373173 0.26972477064220185
wuf20-044 10 297279 10 10 90.99545454545455 10.788636363636364 182.7549514945513 0.0
wuf20-045 10 198006 10 9 90.99555555555555 10.775555555555556 187.59833739629835 0.04720930232558139
wuf20-046 10 175059 10 1 90.99565217391304 10.819565217391304 194.60865986011143 0.02193064667291472
wuf20-047 10 347574 10 7 90.99574468085106 10.831914893617022 193.14838219832387 0.19433962264150942
wuf20-048 10 860190 10 10 90.99583333333334 10.835416666666667 189.25707952041176 0.0
wuf20-049 10 613536 10 4 90.99591836734695 10.744897959183673 185.8849838208912 0.5669724770642202
wuf20-050 10 747252 9 9 90.994 10.706 182.2643085347173 0.0
wuf20-051 10 465618 10 7 90.99411764705883 10.717647058823529 180.96453012729333 0.2588050314465409
wuf20-052 10 199020 10 3 90.99423076923077 10.75 181.23069066424492 0.15106837606837611
wuf20-053 10 763425 10 5 90.9943396226415 10.70754716981132 178.37774159971016 0.463963963963964
