instance runsPerInstance avrgIterations satisfied satisfiendMaximum avrgSatisfiedCloses selectedVariables avrgHeuristicValue avrgDifference
wruf36-157-1 10 28458 10 10 157.0 22.0 1763.4393508449061 0.0
wruf36-157-2 10 63135 10 9 157.0 21.8 1733.8843901622888 0.007767652648506408
wruf36-157-3 10 8910 10 10 157.0 19.866666666666667 1689.589593441526 0.0
wruf36-157-4 10 9240 10 10 157.0 20.4 1761.5598421399677 0.0
wruf36-157-5 10 18120 10 10 157.0 20.32 1742.742950727981 0.0
wruf36-157-6 10 26730 10 10 157.0 20.1 1711.4589471800487 0.0
wruf36-157-7 10 8970 10 10 157.0 19.942857142857143 1704.2524446655618 0.0
wruf36-157-8 10 27720 10 10 157.0 20.075 1730.9292224156998 0.0
wruf36-157-9 10 65016 10 5 157.0 20.044444444444444 1691.780729402077 0.007205484417280662
wruf36-157-10 10 27630 10 10 157.0 20.34 1706.7759512190157 0.0
wruf36-157-11 10 26370 10 10 157.0 20.21818181818182 1674.9356080216216 0.0
wruf36-157-12 10 9120 10 10 157.0 20.116666666666667 1689.6083712961072 0.0
wruf36-157-13 10 8910 10 10 157.0 19.876923076923077 1682.7936915526295 0.0
wruf36-157-14 10 9360 10 10 157.0 20.02857142857143 1716.2376255356878 0.0
wruf36-157-15 10 9480 10 10 157.0 20.36 1754.4783154833174 0.0
wruf36-157-16 10 44064 10 9 157.0 20.45625 1749.940168529943 0.0023738656231787527
wruf36-157-17 10 18240 10 10 157.0 20.429411764705883 1751.133495250386 0.0
wruf36-157-18 10 17760 10 10 157.0 20.294444444444444 1736.12598589869 0.0
wruf36-157-19 10 8940 10 10 157.0 20.173684210526314 1729.8898172723202 0.0
wruf36-157-20 10 26640 10 10 157.0 20.165 1714.516934238719 0.0
wruf36-157-21 10 19467 10 10 157.0 20.49047619047619 1724.5021098249358 0.0
wruf36-157-22 10 9300 10 10 157.0 20.65 1738.7908065683346 0.0
wruf36-157-23 10 9090 10 10 157.0 20.621739130434783 1741.4955541088418 0.0
wruf36-157-24 10 9360 10 10 157.0 20.720833333333335 1758.5582393543068 0.0
wruf36-157-25 10 9000 10 10 157.0 20.652 1756.2559097801345 0.0
wruf36-157-26 10 8970 10 10 157.0 20.51153846153846 1752.2076055578216 0.0
wruf36-157-27 10 8790 10 10 157.0 20.418518518518518 1739.8654305634348 0.0
wruf36-157-28 10 18360 10 10 157.0 20.475 1742.975276171135 0.0
wruf36-157-29 10 67275 10 7 157.0 20.389655172413793 1724.6044741560838 0.0019098648732625823
wruf36-157-30 10 48018 10 9 157.0 20.406666666666666 1719.6130490197966 9.42002611916333E-4
wruf36-157-31 10 29568 10 10 157.0 20.45806451612903 1722.9282022554637 0.0
wruf36-157-32 10 9360 10 10 157.0 20.6 1733.4297081609511 0.0
wruf36-157-33 10 45600 10 10 157.0 20.55151515151515 1733.053050337892 0.0
wruf36-157-34 10 50820 10 10 157.0 20.594117647058823 1732.1152733886609 0.0
wruf36-157-35 10 18480 10 10 157.0 20.634285714285713 1736.5040299716773 0.0
wruf36-157-36 10 17580 10 10 157.0 20.616666666666667 1726.6738871117736 0.0
wruf36-157-37 10 41175 10 10 157.0 20.654054054054054 1723.829686070012 0.0
wruf36-157-38 10 9240 10 10 157.0 20.689473684210526 1730.1375761987292 0.0
wruf36-157-39 10 35880 10 10 157.0 20.671794871794873 1725.1875791093603 0.0
wruf36-157-40 10 25470 10 10 157.0 20.48 1711.3687243702443 0.0
wruf36-157-41 10 27630 10 10 157.0 20.492682926829268 1711.114214016982 0.0
wruf36-157-42 10 10098 10 10 157.0 20.48095238095238 1715.635304159435 0.0
wruf36-157-43 10 9060 10 10 157.0 20.446511627906975 1716.4577389464248 0.0
wruf36-157-44 10 18420 10 10 157.0 20.504545454545454 1717.145424582678 0.0
